_id,Response,Language,imdbVotes,Runtime,Released,Actors,Writer,Director,Country,Genre,Poster,imdbRating,Metascore,Box_office,Type,Rated,Awards,Title,imdbID
56fb882271a0651a3c24f7dc,True,English,"3,632",103 min,18 Sep 1981,"John Belushi, Blair Brown, Allen Garfield, Carlin Glynn",Lawrence Kasdan,Michael Apted,USA,"Comedy, Romance",http://ia.media-imdb.com/images/M/MV5BMTcwNDkyODYwOV5BMl5BanBnXkFtZTcwMjQzODgxMQ@@._V1_SX300.jpg,6.1,N/A,,movie,PG,N/A,Continental Divide,tt0082200
56fb882271a0651a3c24f7dd,True,English,647,112 min,05 Jun 1981,"Kristy McNichol, Dennis Quaid, Mark Hamill, Sunny Johnson",Bob Bonney (screen story and screenplay),Ron Maxwell,USA,"Drama, Music",http://ia.media-imdb.com/images/M/MV5BMTkxMjk2MDk3MF5BMl5BanBnXkFtZTgwMjI4OTU3MTE@._V1_SX300.jpg,6.0,N/A,,movie,PG,N/A,The Night the Lights Went Out in Georgia,tt0082816
56fb882271a0651a3c24f7de,True,"English, German, French, Swedish","12,104",99 min,10 Apr 1981,"Sylvester Stallone, Billy Dee Williams, Lindsay Wagner, Persis Khambatta","David Shaber (screenplay, David Shaber (story, Paul Sylbert (story)","Bruce Malmuth, Gary Nelson",USA,"Action, Crime, Thriller",http://ia.media-imdb.com/images/M/MV5BMTcyMTcwMjQ3M15BMl5BanBnXkFtZTcwMjMxMTUyMQ@@._V1_SX300.jpg,6.4,N/A,,movie,R,N/A,Nighthawks,tt0082817
56fb882271a0651a3c24f7df,True,English,"4,011",122 min,01 Jul 1981,"Julie Andrews, William Holden, Marisa Berenson, Larry Hagman",Blake Edwards,Blake Edwards,USA,Comedy,http://ia.media-imdb.com/images/M/MV5BMTU3OTA3MzYxNV5BMl5BanBnXkFtZTcwOTgyODMyMQ@@._V1_SX300.jpg,6.4,N/A,,movie,R,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,S.O.B.,tt0083015
56fb882271a0651a3c24f7e0,True,English,"1,201",117 min,09 Oct 1981,"Jacqueline Bisset, Candice Bergen, David Selby, Hart Bochner","Gerald Ayres, John Van Druten (play)",George Cukor,USA,Drama,http://ia.media-imdb.com/images/M/MV5BMTUwMDUzNzk1NF5BMl5BanBnXkFtZTcwODM2OTQ1MQ@@._V1_SX300.jpg,5.9,N/A,,movie,R,1 win.,Rich and Famous,tt0082992
56fb882271a0651a3c24f7e1,True,English,"10,455",109 min,26 Jun 1981,"Peter MacNicol, Caitlin Clarke, Ralph Richardson, John Hallam","Hal Barwood, Matthew Robbins",Matthew Robbins,USA,"Action, Adventure, Fantasy",http://ia.media-imdb.com/images/M/MV5BMzcwMTkwMDk0NF5BMl5BanBnXkFtZTcwNDA5ODUyMQ@@._V1_SX300.jpg,6.7,N/A,"6,000,000",movie,PG,Nominated for 2 Oscars. Another 5 nominations.,Dragonslayer,tt0082288
56fb882271a0651a3c24f7e2,True,English,"5,329",108 min,25 Sep 1981,"Robert De Niro, Robert Duvall, Charles Durning, Kenneth McMillan","John Gregory Dunne (novel, John Gregory Dunne (screenplay, Joan Didion (screenplay)",Ulu Grosbard,USA,"Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTA1NTAyMzM1ODVeQTJeQWpwZ15BbWU3MDMwNzI4NzQ@._V1_SX300.jpg,6.4,N/A,,movie,R,2 wins & 2 nominations.,True Confessions,tt0083232
56fb882271a0651a3c24f7e3,True,English,N/A,60 min,N/A,Bob Eubanks,N/A,N/A,USA,Musical,N/A,N/A,N/A,,series,N/A,N/A,Atlantic City Alive,tt1614571
56fb882271a0651a3c24f7e4,True,English,"1,364",98 min,22 May 1981,"Klinton Spilsbury, Michael Horse, Christopher Lloyd, Matt Clark","Ivan Goff (screenplay, Ben Roberts (screenplay, Michael Kane (screenplay, William Roberts (screenplay, Gerald B. Derloshon (adaptation, George W. Trendle (characters, Fran Striker (characters)",William A. Fraker,"USA, UK","Action, Adventure, Western",http://ia.media-imdb.com/images/M/MV5BMTk1NzI0OTQ4NF5BMl5BanBnXkFtZTcwMjA3ODIyMQ@@._V1_SX300.jpg,5.0,N/A,"8,000,000",movie,PG,4 wins & 4 nominations.,The Legend of the Lone Ranger,tt0082648
56fb882271a0651a3c24f7e5,True,English,"1,056",98 min,21 Aug 1981,"Walter Matthau, Jill Clayburgh, Barnard Hughes, Jan Sterling","Jerome Lawrence (play, Jerome Lawrence (screenplay, Robert E. Lee (play, Robert E. Lee (screenplay)",Ronald Neame,USA,"Comedy, Drama",http://ia.media-imdb.com/images/M/MV5BMjE4MzYyMDg1MV5BMl5BanBnXkFtZTcwNjcxODUyMQ@@._V1_SX300.jpg,6.4,N/A,,movie,R,Nominated for 2 Golden Globes. Another 1 nomination.,First Monday in October,tt0082382
56fb882271a0651a3c24f7e6,True,English,"16,197",122 min,20 Mar 1981,"Jack Nicholson, Jessica Lange, John Colicos, Michael Lerner","James M. Cain (novel, David Mamet (screenplay)",Bob Rafelson,"USA, West Germany","Crime, Drama, Thriller",http://ia.media-imdb.com/images/M/MV5BMTc2MTc5NjI5Nl5BMl5BanBnXkFtZTYwMTA0NDA5._V1_SX300.jpg,6.6,N/A,,movie,R,1 win & 1 nomination.,The Postman Always Rings Twice,tt0082934
56fb882271a0651a3c24f7e7,True,English,296,91 min,24 Jul 1981,"Tony Anthony, Gene Quintano, Victoria Abril, Ricardo Palacios","Wolf Lowenthal, Lloyd Battista, Gene Quintano, Tony Anthony (original story)",Ferdinando Baldi,"Italy, Spain, USA",Western,http://ia.media-imdb.com/images/M/MV5BMTM3MTc0MDAwMV5BMl5BanBnXkFtZTcwNjEzNTYxMQ@@._V1_SX300.jpg,4.7,N/A,,movie,R,N/A,Comin' at Ya!,tt0082193
56fb882271a0651a3c24f7e8,True,English,"26,147",107 min,24 Jul 1981,"John Travolta, Nancy Allen, John Lithgow, Dennis Franz",Brian De Palma,Brian De Palma,USA,"Drama, Mystery, Thriller",http://ia.media-imdb.com/images/M/MV5BMTg4NTMzODEwMF5BMl5BanBnXkFtZTcwMzEwOTIyMQ@@._V1_SX300.jpg,7.4,N/A,,movie,R,2 nominations.,Blow Out,tt0082085
56fb882271a0651a3c24f7e9,True,English,519,94 min,13 Mar 1981,"Sally Field, Tommy Lee Jones, David Keith, Miriam Colon",Gary DeVore,Martin Ritt,USA,"Adventure, Comedy, Romance",http://ia.media-imdb.com/images/M/MV5BMTgzNzU0MTk3Ml5BMl5BanBnXkFtZTcwMzY5NDgyMQ@@._V1_SX300.jpg,5.6,N/A,,movie,R,N/A,Back Roads,tt0082042
